source_type,reference_code,generic_name,trade_name,dosage_form,manufacturer,status
TMT,105847,ไบโอแลป,ULCIN,"(ranitidine 150 mg) film-coated tablet, 1 tablet",ไบโอแลป,ACTIVE
TMT,106058,ไบโอแลป,ULCIN,"(ranitidine 300 mg) film-coated tablet, 1 tablet",ไบโอแลป,ACTIVE
TMT,106528,ไบโอแลป,ULCIN,"(ranitidine 50 mg/2 mL) solution for injection, 2 mL ampoule",ไบโอแลป,ACTIVE
TMT,102191,400,ULCINE,"(ห้างขายยาตราเจ็ดดาว) (cimetidine 400 mg) film-coated tablet, 1 tablet",ห้างขายยาตราเจ็ดดาว,ACTIVE
TMT,746348,ห้างขายยาตราเจ็ดดาว,ULCINE,"(cimetidine 400 mg) film-coated tablet, 1 tablet",ห้างขายยาตราเจ็ดดาว,ACTIVE
TMT,137091,โปลิฟาร์ม,ULCRAFATE,"(sucralfate 500 mg) tablet, 1 tablet",โปลิฟาร์ม,ACTIVE
TMT,101111,ยูโทเปี้ยน,ULCUSDINE 200,"(cimetidine 200 mg) tablet, 1 tablet",ยูโทเปี้ยน,ACTIVE
TMT,102209,ยูโทเปี้ยน,ULCUSDINE 400,"(cimetidine 400 mg) film-coated tablet, 1 tablet",ยูโทเปี้ยน,ACTIVE
TMT,103974,น่ำก๊ก (ตราหัวสิงห์,ULFADINE,") (famotidine 20 mg) film-coated tablet, 1 tablet",น่ำก๊ก (ตราหัวสิงห์),ACTIVE
TMT,103466,ที.โอ. เคมีคอลส์ (1979,ULFAMET,"(กรุงเทพฯ)) (famotidine 20 mg) film-coated tablet, 1 tablet",ที.โอ. เคมีคอลส์ (1979) (กรุงเทพฯ),ACTIVE
TMT,103789,ที.โอ. เคมีคอลส์ (1979,ULFAMET,"(กรุงเทพฯ)) (famotidine 40 mg) film-coated tablet, 1 tablet",ที.โอ. เคมีคอลส์ (1979) (กรุงเทพฯ),ACTIVE
TMT,601181,ยูโทเปี้ยน,ULFLEX,"(cefalexin 125 mg/5 mL) powder for syrup, 60 mL bottle",ยูโทเปี้ยน,ACTIVE
